Company,Last Review,In Contract,Renewal Date,Monthly Spend,Locations,$/Location,Responsiveness,Tier
"Russo's | Pearland",2025-06-25,Y,2026-06-23,841.34,,,Yes,Tier 1
"Guthries",2025-06-25,Y,2026-06-25,507,,,Yes,Tier 1
"Mancino's Pizza (New Castle)",2025-06-24,N,,100,1,100.00,No,Tier 3
"Sidelines Sports Bar",2025-06-24,N,,99,,,,Tier 3
"Peppino's Restaurant and Catering",2025-06-23,Y,2026-04-16,799.43,,,Yes,Tier 1
"Romeo's Pizza (Elizabeth City)",2025-06-23,Y,2026-05-05,509.14,,,Yes,Tier 1
"Park Cafe",2025-06-23,Y,2027-01-16,35.41,,,,Tier 3
"Fox's Pizza Den | Chris Rearick",2025-06-20,Y,2026-07-19,431,4,107.75,Sometimes,Tier 2
"Fox's Pizza Den | Derrick",2025-06-19,N,,150,1,150.00,No,Tier 3
"Fox's Pizza Den | Michael Kumanchik",2025-06-19,Y,2026-07-19,180.2,,,,Tier 3
"Jesse's Pizza Co",2025-06-17,N,,224.67,,,Yes,Tier 3
"Romeos Pizza (Wake Forest)",2025-06-16,Y,2026-04-28,382.45,,,Yes,Tier 2
"Detroit Pizza Factory Store #2 (Near Van Born Rd)",2025-06-16,Y,2026-06-16,613.81,,,Yes,Tier 1
"Detroit Pizza Factory",2025-06-16,Y,2026-06-16,1515.41,1,1515.41,Yes,Tier 1
"Burma 2 / Burma Bay Cafe",2025-06-13,N,,780.35,,,Yes,Tier 1
"Milano's Pizza Of Niles",2025-06-12,Y,2026-06-12,722.1,,,Yes,Tier 1
"Mountain Mike's Pizza | Bains",2025-06-11,Y,2026-05-19,1020,5,204.00,Yes,Tier 1
"Pizza Pie On The Fly",2025-06-11,Y,2026-06-17,677.29,,,Yes,Tier 1
"Broadway Pizzeria South",2025-06-11,Y,2026-07-18,439,2,219.50,Yes,Tier 2
"Mountain Mike's Pizza Folsom",2025-06-09,Y,2026-04-18,431,1,431.00,Yes,Tier 2
"Colarusso's Coal-Fired Pizza",2025-06-09,Y,2026-05-20,1002.18,,,Yes,Tier 1
"Coop's Pizza",2025-06-09,Y,2026-05-10,402.67,,,Yes,Tier 2
"Heirloom Pizza Co.",2025-06-05,Y,2026-06-05,558.22,,,Yes,Tier 1
"Hurricane Pizza Grill",2025-05-28,Y,2026-08-01,576,,,Sometimes,Tier 1
"Stadium Pepz Pizza & Eatery",2025-05-23,N,,609,,,Yes,Tier 1
"East of Chicago | Warren",2025-03-03,Y,2026-03-05,181.26,,,,Tier 3
"Il Capo Pizzeria",2025-02-20,Y,2026-06-05,472,,,Sometimes,Tier 2
"Brasi's Pizzeria",2025-02-11,Y,2027-02-11,678.93,,,Sometimes,Tier 1
"Leona's",2025-02-05,Y,2026-08-21,740,,,No,Tier 1
"Deep Blue at Kitty Knight",2025-01-14,Y,2027-01-16,223.42,,,Yes,Tier 3
"Tonic Seafood and Steak",2025-01-14,Y,2027-01-16,158.95,,,,Tier 3
"Stone Mountain Pizza Cafe",2025-01-07,Y,2027-01-07,521.04,,,No,Tier 1
"Romeo's Pizza (Jeff)",2024-11-05,N,,2571,,,Yes,Tier 1
"Frank's Pizza",2024-10-21,N,,468.13,,,Sometimes,Tier 2
"Payne's Pizza",2024-09-18,Y,2026-09-18,665.47,,,No,Tier 1
"Zulu Grille",2024-07-30,N,,314,1,314.00,No,Tier 3
"Maestro’s Pizza",2024-07-18,Y,2026-07-24,174,1,174.00,No,Tier 3
"Lenzini’s 241 Pizza",2024-01-22,N,,142,,,,Tier 3
"Ricobene's",2022-10-20,N,,1867,1,1867.00,No,Tier 1
"D'Al's Pizza | Charleston",2022-06-06,Y,2026-03-04,1253,1,1253.00,Sometimes,Tier 1
"The Underground Laugh Lounge",,N,,99,1,99.00,Yes,Tier 3
"Cottonwood Creek Brewery",,N,,400,1,400.00,Sometimes,Tier 2
"Phil Sandoval's Mexican Restaurante",,N,,153,1,153.00,Yes,Tier 3
"Spiro's Port Orchard",,N,,127,1,127.00,Sometimes,Tier 3
"Fox's Pizza Den (Bridgette Vandevere)",,N,,258,1,258.00,Yes,Tier 3
"Kazu Sushi Burrito | 4600 Tropea Way",,N,,190.67,,,,Tier 3
"Sals Pizza | Corporate",,N,,1698.93,,,Yes,Tier 1
"Fox's Pizza Den | John Clemens",,N,,138.26,,,,Tier 3
"Local Beer, Patio and Kitchen",,Y,2026-08-07,200.63,,,No,Tier 3
"Fox's Pizza Den | Jessica Davis",,N,,99,1,99.00,No,Tier 3
"The Good Pizza",,Y,2026-09-02,130,,,Yes,Tier 3
"Fox's Pizza Den | Michelle Bell",,N,,201,1,201.00,Sometimes,Tier 3
